2014-09-04 18:59:12,900 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-04 18:59:48,512 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:59:48,513 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-09-04 18:59:48,514 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:59:48,514 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-04 19:00:07,523 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-09-04 19:00:07,545 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.dcsquare.iotcloud:hivemq-plugin:1.0.0 @ /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemqplugin/pom.xml.
2014-09-04 19:00:07,638 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /0.2-hivemqplugin/src/main/java
2014-09-04 19:00:07,638 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /0.2-hivemqplugin/src/main/resources
2014-09-04 19:00:07,639 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /0.2-hivemqplugin/src/test/java
2014-09-04 19:00:07,639 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /0.2-hivemqplugin/src/test/resources
2014-09-04 19:00:07,843 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.dcsquare.iotcloud:hivemq-plugin:1.0.0 @ /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemqplugin/pom.xml.
2014-09-04 19:00:07,886 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2014-09-04 19:00:08,090 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 19:00:08,090 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-09-04 19:00:08,092 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 19:00:08,093 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-04 19:01:36,076 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: asdf:asdf:0.0.1-SNAPSHOT @ /Users/cgoetz/Development/iotcloud_workspace/asdf/pom.xml.
2014-09-04 19:01:36,105 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /asdf/src/main/java
2014-09-04 19:01:36,106 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /asdf/src/main/resources
2014-09-04 19:01:36,106 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /asdf/src/test/java
2014-09-04 19:01:36,106 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /asdf/src/test/resources
2014-09-04 19:01:36,346 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: asdf:asdf:0.0.1-SNAPSHOT @ /Users/cgoetz/Development/iotcloud_workspace/asdf/pom.xml.
2014-09-04 19:01:36,370 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 19:01:36,371 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-04 19:01:36,372 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 19:01:36,373 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-04 19:01:37,173 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: asdf:asdf:0.0.1-SNAPSHOT @ /Users/cgoetz/Development/iotcloud_workspace/asdf/pom.xml.
